Date,Fajr,Fajr,Zuhr,Asr,Maghrib,Isha
,Begins,Sunrise,Begins,Begins,Begins,Begins
01/07/2021,2:48,4:45,13:08,18:40,21:24,22:44
02/07/2021,2:49,4:46,13:09,18:40,21:24,22:44
03/07/2021,2:50,4:47,13:09,18:40,21:24,22:44
04/07/2021,2:51,4:48,13:09,18:40,21:23,22:43
05/07/2021,2:52,4:49,13:09,18:40,21:23,22:43
06/07/2021,2:54,4:49,13:09,18:40,21:22,22:42
07/07/2021,2:55,4:50,13:10,18:39,21:21,22:41
08/07/2021,2:56,4:51,13:10,18:39,21:21,22:41
09/07/2021,2:57,4:52,13:10,18:39,21:20,22:40
10/07/2021,2:59,4:53,13:10,18:38,21:19,22:39
11/07/2021,3:00,4:54,13:10,18:38,21:18,22:38
12/07/2021,3:01,4:55,13:10,18:38,21:18,22:38
13/07/2021,3:03,4:57,13:10,18:37,21:17,22:37
14/07/2021,3:04,4:58,13:10,18:37,21:16,22:36
15/07/2021,3:06,4:59,13:11,18:36,21:15,22:35
16/07/2021,3:07,5:00,13:11,18:36,21:14,22:34
17/07/2021,3:09,5:01,13:11,18:35,21:13,22:33
18/07/2021,3:11,5:03,13:11,18:35,21:11,22:31
19/07/2021,3:12,5:04,13:11,18:34,21:10,22:30
20/07/2021,3:14,5:05,13:11,18:33,21:09,22:29
21/07/2021,3:15,5:07,13:11,18:33,21:08,22:28
22/07/2021,3:17,5:08,13:11,18:32,21:06,22:26
23/07/2021,3:19,5:09,13:11,18:31,21:05,22:25
24/07/2021,3:21,5:11,13:11,18:30,21:04,22:24
25/07/2021,3:22,5:12,13:11,18:30,21:02,22:22
26/07/2021,3:24,5:14,13:11,18:29,21:01,22:21
27/07/2021,3:26,5:15,13:11,18:28,20:59,22:19
28/07/2021,3:28,5:17,13:11,18:27,20:58,22:18
29/07/2021,3:29,5:18,13:11,18:26,20:56,22:16
30/07/2021,3:31,5:20,13:11,18:25,20:55,22:15
31/07/2021,3:33,5:21,13:11,18:24,20:53,22:13
